id,Review ID,Item ID,Shop ID,Comment,Rating Star,Author Username,Images,Submit Time,Like Count,Product Quality,Seller Service,Delivery Service,Class
9337459888,9337459888,20415254195,414659819,"Material:Great!
Functionality:Great too!

This has to be my favourite purchase as I work a lot from home and would like to change my view every now and then. This product is great, functional, and easy to assemble as well. I am using a heavy MacBook Pro and it’s stable all, adjustable, and convenient to carry around.",5,vinibalan,https://down-id.img.susercontent.com/file/my-11134103-22080-x6fr5h0fcigve6,21/8/2022 8:06,45,5,Not Available,Not Available,positive
15615300429,15615300429,20415254195,414659819,"Functionality:functioning well and great size for single bed use.
Material:very sturdy and smooth finishing on top

Very nice and sturdy table. The size is perfect. Would recommend to others 👍🏻",5,yana4eva,https://down-id.img.susercontent.com/file/my-11134103-7r98s-lwwygctwhmy23f,24/6/2024 13:43,12,5,5,5,positive
75571802271,75571802271,20415254195,414659819,"Performance:Struktur yg kukuh, tegap dan kuat. Tahan lasak

Corak jalinan kayu yg natural n cantik.. Buatan kemas dan kukuh. Hujung bucu meja juga licin, rounded edge dan tak tajam, jadi jgn risau la tangan kita tak kan luka. Sesuai utk anak2 nak study , kita nak letak komputer pun steady je. Boleh juga buat meja makan sambil menghadap tengok TV. Terima kasih seller. sgt puas hati.",5,n*****0,https://down-id.img.susercontent.com/file/my-11134103-820lb-mfkzrhesx7grb7 || https://down-id.img.susercontent.com/file/my-11134103-820la-mfkzrhesym17b7 || https://down-id.img.susercontent.com/file/my-11134103-820l9-mfkzrhet00ln62,8/10/2025 10:17,2,5,5,5,positive
77003633676,77003633676,20415254195,414659819,"Performance:Good

Meja besar. Sesuai sangat untuk meja belajar atau meja makan. Tapak kaki jenis membulat. Tak rosakkan carpet. Kualiti bamboo baik. Takde kesan tajam. Alhamdulillah penghantaran cepat. Highly recommended. Thank you seller.",5,azila_aria,https://down-id.img.susercontent.com/file/my-11134103-820le-mg0mldnduzgpf8 || https://down-id.img.susercontent.com/file/my-11134103-820la-mg0mldndwe1599 || https://down-id.img.susercontent.com/file/my-11134103-820l4-mg0mldndxsll4f || https://down-id.img.susercontent.com/file/my-11134103-820l4-mg0mldndz7610f || https://down-id.img.susercontent.com/file/my-11134103-820lg-mg0mldne0lqhab,19/10/2025 9:27,1,5,5,5,positive
94289773243,94289773243,20415254195,414659819,"Material:High-quality wooden
Functionality:Simpan Kasut Mak Bapak

Produk terbaik, kualiti berbaloi dgn harga, design dan dimension kena dgn citarasa, penghantaran pun cargas, 5 tingkat 5 star✨✨✨✨✨ ada freegift",5,facrulalif,https://down-id.img.susercontent.com/file/my-11134103-820lb-mmkev4sdp62r17 || https://down-id.img.susercontent.com/file/my-11134103-820li-mmkev4rt94hv25,2/4/2026 13:43,Not Available,5,5,5,positive
32536226902,32536226902,20415254195,414659819,I love it! Meja ni comey dooh. Cantik. Size pun just nice. Kayu tebal. Ketinggian pun okay ngam. Hopefully tahan lamaaaaaa la. So far sangat berpuas hati. Harga pun mampu milik.,5,r*****n,https://down-id.img.susercontent.com/file/my-11134103-7ras9-m76hbxhoik9y8e || https://down-id.img.susercontent.com/file/my-11134103-7rasj-m76hbxhoijs22c || https://down-id.img.susercontent.com/file/my-11134103-7rasg-m76hbxhoikbc36,10/3/2025 11:17,10,5,5,5,positive
13223197651,13223197651,20415254195,414659819,"Functionality:ingatkan kecik , rupanya boleh tahan juga besar
Material:sooo good !!!!

berbaloi , besar meja nih muat satu laptop. same like meja sstudy laa . sumpah lawa . kayu meja nih pon lawaa . recommend !!!",5,farhanarasid21,https://down-id.img.susercontent.com/file/my-11134103-7r98z-lo4m177885c6ce || https://down-id.img.susercontent.com/file/my-11134103-7r991-lo4m1777sp3ac3,15/11/2023 22:18,58,5,5,5,positive
15802786029,15802786029,20415254195,414659819,"Functionality:good
Material:wood coated with epoxy

Sturdy & beautiful. just nice for a small living room. Colour looks good. 
Item as per described by seller. 
Recommended.",5,k*****0,https://down-id.img.susercontent.com/file/my-11134103-7r990-lxkxwd1y1nca99 || https://down-id.img.susercontent.com/file/my-11134103-7r98t-lxkxwd1y31wq41 || https://down-id.img.susercontent.com/file/my-11134103-7r98r-lxkxx0jdogh626,11/7/2024 8:59,64,5,5,5,positive
75314314198,75314314198,20415254195,414659819,"Item received fast and in good condition. The foldable table is sturdy, easy to set up and very convenient for study or work or even eating! Worth the price!",5,r*****n,https://down-id.img.susercontent.com/file/my-11134103-820l4-mf811vgyqzgub8 || https://down-id.img.susercontent.com/file/my-11134103-820li-mf811vgyse1a94 || https://down-id.img.susercontent.com/file/my-11134103-820lg-mf811vgyv7668f || https://down-id.img.susercontent.com/file/my-11134103-820l7-mf811vhnvl6z81,29/9/2025 8:37,14,5,5,5,positive
34560578845,34560578845,20415254195,414659819,"Performance:good

Meja diperbuat dari buluh
Yang size 80cm ok kualitinya panjang selesa boleh letak pelbagai keperluan belajar anak,yang size 64cm meja komputer kukuh dan tebal,boleh adjust ketinggian
Saya puas hati",5,l*****e,https://down-id.img.susercontent.com/file/my-11134103-7rasb-m7w0ft8ulqusc6 || https://down-id.img.susercontent.com/file/my-11134103-7rasc-m7w0ft8un5f889,28/3/2025 8:41,4,5,5,5,positive
86554836767,86554836767,20415254195,414659819,"Material:nice
Functionality:good

Buatan kemas. Hujung bucu meja licin, rounded edge dan tak tajam. Lepas ni nak membaca or  something else ok je, muat juga letak al-quran.",5,f*****1,https://down-id.img.susercontent.com/file/my-11134103-820lc-mjzcn1bfuj9dcc || https://down-id.img.susercontent.com/file/my-11134103-820lh-mjzcn1bfvxtt04 || https://down-id.img.susercontent.com/file/my-11134103-820lf-mjzcn1bfxce9c7 || https://down-id.img.susercontent.com/file/my-11134103-820l4-mjzcn1bfyqyp3e || https://down-id.img.susercontent.com/file/my-11134103-820l9-mjzcn1bg05j524,27/1/2026 9:00,1,5,5,5,positive
13015220824,13015220824,20415254195,414659819,"Really satisfied with the item, i not a fan glossy texture This one just nice the finishing. The height just about one feet and not to big and not to small. If you put your laptop still have 1 1/2 palm of your hand. Solid with no defects",5,e*****k,https://down-id.img.susercontent.com/file/my-11134103-7r98t-lnd6d6voohbw7a,27/10/2023 17:02,6,5,5,5,positive
95354624734,95354624734,20415254195,414659819,"Very good build, the line that separates the adjustable top and the fixed top is seamless. even the feet is adjustable. just nice for my mum to read quran (higher table) and my nieces to do homework (lowered table). highly recommend.",5,a*****i,https://down-id.img.susercontent.com/file/my-11134103-820lb-mmvvqrwtv1tyca || https://down-id.img.susercontent.com/file/my-11134103-820lf-mmvvr0w1phxe09 || https://down-id.img.susercontent.com/file/my-11134103-820lb-mmvvru5lz40889,10/4/2026 14:34,Not Available,5,5,5,positive
67980493531,67980493531,20415254195,414659819,"Performance:good

very worth it for the price. surface is a bit porous, risk of wood splinter is there. very light so it will easily slide off",5,n*****4,https://down-id.img.susercontent.com/file/my-11134103-7rase-mdemjt9zj7ap4b,14/8/2025 12:18,1,5,5,5,positive
